,score
train_accuracy,0.7610942249240121
test_accuracy,0.3155339805825243
macro_precision,0.23965222246840473
macro_recall,0.24635488840859887
macro_f1,0.23872731107434783
weighted_f1,0.33218916460064973
best_cv_macro_f1,0.2662348012442274
