,score
train_accuracy,0.8553191489361702
test_accuracy,0.3155339805825243
macro_precision,0.23775005966626997
macro_recall,0.23990017982363596
macro_f1,0.2361993887964151
weighted_f1,0.3274796823352568
best_cv_macro_f1,0.2651150664553938
