param_model__criterion,param_model__max_depth,param_model__min_samples_split,param_model__class_weight,mean_train_score,mean_test_score,std_test_score,rank_test_score
entropy,,2,balanced,0.9993177067947094,0.1771876097985638,0.01836333236872536,1
entropy,20,2,balanced,0.9993177067947094,0.1771876097985638,0.01836333236872536,1
entropy,40,2,balanced,0.9993177067947094,0.1771876097985638,0.01836333236872536,1
entropy,,5,balanced,0.9344313876054618,0.17475725242366555,0.0092288225570862,4
entropy,20,5,balanced,0.9344313876054618,0.17475725242366555,0.0092288225570862,4
entropy,40,5,balanced,0.9344313876054618,0.17475725242366555,0.0092288225570862,4
gini,40,2,balanced,0.9993177067947094,0.17085414153554304,0.014966587638111224,7
gini,,2,balanced,0.9993177067947094,0.17085414153554304,0.014966587638111224,7
entropy,,10,balanced,0.7804901935531758,0.17020651609367246,0.009970565830587837,9
entropy,20,10,balanced,0.7804901935531758,0.17020651609367246,0.009970565830587837,9
entropy,40,10,balanced,0.7804901935531758,0.17020651609367246,0.009970565830587837,9
gini,20,2,balanced,0.9887015690801662,0.16959280784807826,0.022178951787106098,12
gini,20,2,,0.9983838213550348,0.16816141426659464,0.01970403660706797,13
gini,40,2,,0.9995160782847552,0.1681557004582633,0.012718255036891482,14
gini,,2,,0.9995160782847552,0.1681557004582633,0.012718255036891482,14
gini,20,5,balanced,0.908228257889528,0.1680407647973111,0.02031296207460545,16
gini,40,5,balanced,0.9160174317983607,0.16609173299631178,0.022128751794591242,17
gini,,5,balanced,0.9160174317983607,0.16609173299631178,0.022128751794591242,17
gini,40,10,,0.729191881022626,0.16413129786833852,0.009439801105584152,19
gini,,10,,0.729191881022626,0.16413129786833852,0.009439801105584152,19
gini,20,10,,0.729188956243485,0.16398389987149303,0.008754491481427576,21
entropy,10,2,balanced,0.770789837838452,0.16310063408537595,0.021854323676312917,22
entropy,10,5,balanced,0.7380786853225734,0.1626459290138594,0.017730660862060255,23
gini,10,5,,0.7212377607720694,0.161573457089578,0.011571673552391016,24
gini,20,5,,0.8564345531439986,0.16133747296472004,0.013021762647409948,25
entropy,10,10,balanced,0.6472151970139158,0.16125452817174907,0.01428931904153211,26
gini,20,10,balanced,0.7748640507855987,0.16047826560907114,0.02335545566475681,27
entropy,,10,,0.7599082649082212,0.1594592129646893,0.03368200191424379,28
entropy,20,10,,0.7599082649082212,0.1594592129646893,0.03368200191424379,28
entropy,40,10,,0.7599082649082212,0.1594592129646893,0.03368200191424379,28
entropy,,2,,0.9995160782847552,0.15837113819024698,0.02449507507643809,31
entropy,40,2,,0.9995160782847552,0.15837113819024698,0.02449507507643809,31
entropy,20,2,,0.9995160782847552,0.15837113819024698,0.02449507507643809,31
gini,40,5,,0.8571625623624174,0.15825378143763752,0.009958254069495942,34
gini,,5,,0.8571625623624174,0.15825378143763752,0.009958254069495942,34
gini,10,10,,0.6352231167274522,0.15748399845935382,0.010373359065772893,36
gini,40,10,balanced,0.7795242147093425,0.15745753475549049,0.029288182918903307,37
gini,,10,balanced,0.7795242147093425,0.15745753475549049,0.029288182918903307,37
gini,10,2,,0.7849797586314873,0.15496531315467657,0.014969910088570477,39
entropy,40,5,,0.9200640972076165,0.1548549015172339,0.038413356824399496,40
entropy,,5,,0.9200640972076165,0.1548549015172339,0.038413356824399496,40
entropy,20,5,,0.9200640972076165,0.1548549015172339,0.038413356824399496,40
entropy,10,10,,0.6554272495460409,0.15346282183189924,0.026465847302810184,43
entropy,10,2,,0.8073337828659479,0.15180237051829945,0.013232850062706459,44
gini,10,2,balanced,0.6563272328397726,0.15116765281802555,0.023750434305654395,45
gini,10,5,balanced,0.6287635724622412,0.1503232492731276,0.021266795204278387,46
gini,10,10,balanced,0.5620022093184127,0.15014188677220136,0.023427350416568616,47
entropy,10,5,,0.7611980438599459,0.14340466888749726,0.01782788932260804,48
