,score
train_accuracy,0.6474164133738601
test_accuracy,0.3592233009708738
train_test_accuracy_gap,0.28819311240298634
macro_precision,0.20177849006143148
macro_recall,0.19259393218786056
macro_f1,0.19159246905279595
weighted_f1,0.3296796374269606
best_cv_macro_f1,0.20682378600851306
